Population,Day,objective,district task cost,district task cost collecting,district task cost sending,district 1 cost,d1 cost collecting,d1 cost sending,district 2 cost,d2 cost collecting,d2 cost sending,district 3 cost,d3 cost collecting,d3 cost sending,district 4 cost,d4 cost collecting,d4 cost sending,transfer taks cost,transshipment center 1 cost,transshipment center 2 cost,major customer task cost,
4,22,448200,245600,118100,127500,66000,27000,39000,56400,23850,32550,52200,30450,21750,71000,36800,34200,184000,64000,120000,18600,
4,23,522800,291000,119750,171250,62600,30000,32600,52200,17400,34800,112200,49950,62250,64000,22400,41600,207000,72000,135000,24800,
4,24,366600,233800,102450,131350,61300,30000,31300,48450,15000,33450,55650,23850,31800,68400,33600,34800,108000,48000,60000,24800,
4,25,472050,242050,115650,126400,27000,15000,12000,60600,26100,34500,101250,49350,51900,53200,25200,28000,199000,64000,135000,31000,
4,26,437635,265035,114700,150335,57235,24000,33235,39150,21750,17400,83850,40950,42900,84800,28000,56800,154000,64000,90000,18600,
4,27,475970,296370,130435,165935,72470,27235,45235,48450,21600,26850,89250,53400,35850,86200,28200,58000,161000,56000,105000,18600,
4,28,474100,272300,131150,141150,63000,27000,36000,49950,21750,28200,103350,51600,51750,56000,30800,25200,177000,72000,105000,24800,
4,29,477935,260335,114250,146085,54235,21000,33235,62550,28200,34350,101550,45450,56100,42000,19600,22400,199000,64000,135000,18600,
4,30,449750,285150,109250,175900,65200,18000,47200,41100,17400,23700,89250,43050,46200,89600,30800,58800,146000,56000,90000,18600,
5,0,420250,258450,113800,144650,74600,30000,44600,41700,23550,18150,76950,40650,36300,65200,19600,45600,137000,32000,105000,24800,
5,1,479100,270300,105950,164350,39000,6000,33000,66000,23850,42150,87900,45300,42600,77400,30800,46600,184000,64000,120000,24800,
5,2,490985,281385,125450,155935,69235,33000,36235,57300,19500,37800,86250,39150,47100,68600,33800,34800,191000,56000,135000,18600,
5,3,424835,263035,125400,137635,67535,25300,42235,52950,24750,28200,70950,44550,26400,71600,30800,40800,137000,32000,105000,24800,
5,4,476750,275150,111150,164000,63000,21000,42000,36750,15150,21600,101400,49800,51600,74000,25200,48800,183000,48000,135000,18600,
5,5,510900,317100,126700,190400,60900,15000,45900,51450,23850,27600,87150,51450,35700,117600,36400,81200,169000,64000,105000,24800,
5,6,504300,263700,127100,136600,51000,27000,24000,56400,23850,32550,82500,30450,52050,73800,45800,28000,222000,72000,150000,18600,
5,7,478085,284285,123300,160985,60235,27000,33235,47700,21600,26100,91950,49500,42450,84400,25200,59200,169000,64000,105000,24800,
5,8,461450,251850,123700,128150,48000,18000,30000,60750,28200,32550,75900,41100,34800,67200,36400,30800,191000,56000,135000,18600,
5,9,454000,245200,128550,116650,54000,30000,24000,43500,21750,21750,80100,43200,36900,67600,33600,34000,184000,64000,120000,24800,
5,10,445650,260850,104800,156050,66900,27000,39900,45600,21750,23850,74550,36450,38100,73800,19600,54200,160000,40000,120000,24800,
5,11,529555,304755,104100,200655,78705,24000,54705,49800,23850,25950,80850,30450,50400,95400,25800,69600,200000,80000,120000,24800,
5,12,412500,240900,123000,117900,51000,21000,30000,46200,15750,30450,65100,41250,23850,78600,45000,33600,153000,48000,105000,18600,
5,13,460350,283550,117850,165700,70300,36000,34300,47250,15150,32100,70200,47100,23100,95800,19600,76200,152000,32000,120000,24800,
5,14,493300,262500,133000,129500,57000,21000,36000,34650,19500,15150,122850,72900,49950,48000,19600,28400,206000,56000,150000,24800,
5,15,435250,257450,106300,151150,43300,18000,25300,49650,21450,28200,96300,47250,49050,68200,19600,48600,153000,48000,105000,24800,
5,16,535685,311085,126050,185035,75235,30000,45235,52050,26100,25950,89400,39150,50250,94400,30800,63600,206000,56000,150000,18600,
5,17,449650,232050,98750,133300,30000,9000,21000,58650,23850,34800,93000,51900,41100,50400,14000,36400,199000,64000,135000,18600,
5,18,398450,266650,106200,160450,63500,28300,35200,55350,21600,33750,69600,25500,44100,78200,30800,47400,107000,32000,75000,24800,
5,19,487255,299655,125350,174305,66705,24000,42705,49800,23850,25950,97950,41100,56850,85200,36400,48800,169000,64000,105000,18600,
5,20,413400,243600,93550,150050,47600,18000,29600,52200,21750,30450,81000,25800,55200,62800,28000,34800,145000,40000,105000,24800,
5,21,527535,303735,133385,170350,70135,36235,33900,47400,21300,26100,108000,47850,60150,78200,28000,50200,199000,64000,135000,24800,
5,22,497150,295350,121150,174200,68200,24000,44200,57300,26100,31200,96450,43050,53400,73400,28000,45400,177000,72000,105000,24800,
5,23,494050,285450,121850,163600,58300,24000,34300,54300,15150,39150,96450,51900,44550,76400,30800,45600,190000,40000,150000,18600,
5,24,520500,333700,149200,184500,64300,18000,46300,43950,23850,20100,99450,57750,41700,126000,49600,76400,162000,72000,90000,24800,
5,25,485200,291400,96900,194500,71200,9000,62200,48300,28200,20100,78900,34500,44400,93000,25200,67800,169000,64000,105000,24800,
5,26,398900,235100,110000,125100,54000,21000,33000,43500,13050,30450,81600,45150,36450,56000,30800,25200,139000,64000,75000,24800,
5,27,555970,309170,112700,196470,85770,24000,61770,35100,8700,26400,68700,45600,23100,119600,34400,85200,222000,72000,150000,24800,
5,28,454900,277100,123750,153350,63000,30000,33000,18000,6300,11700,102900,49650,53250,93200,37800,55400,153000,48000,105000,24800,
5,29,459250,266450,112850,153600,59600,30000,29600,61650,23850,37800,75000,28200,46800,70200,30800,39400,168000,48000,120000,24800,
5,30,486800,271000,133750,137250,60000,24000,36000,45600,23850,21750,77400,57900,19500,88000,28000,60000,191000,56000,135000,24800,
6,0,434070,249270,127670,121600,54470,21470,33000,40950,23550,17400,100650,49050,51600,53200,33600,19600,160000,40000,120000,24800,
6,1,420700,270900,112700,158200,68600,30000,38600,52200,21750,30450,83700,46950,36750,66400,14000,52400,125000,80000,45000,24800,
6,2,464500,269700,132350,137350,63000,24000,39000,56400,32550,23850,71100,45000,26100,79200,30800,48400,170000,80000,90000,24800,
6,3,505920,273320,107000,166320,73770,24000,49770,59400,28200,31200,85350,34800,50550,54800,20000,34800,214000,64000,150000,18600,
6,4,427000,255400,122700,132700,64300,30000,34300,43350,19500,23850,94350,45000,49350,53400,28200,25200,153000,48000,105000,18600,
