iteration, p, s, N1, X1, p(X>x1), N2, X1, p(X>x2), N3, X3, p(X>x3), pf = p(X>x1)*p(X>x2)*p(X>x3)
100, 5, 3, 594, 310, 0.133961, 183, 168, 0.000000, 14, 4, 0.910217, 0.000000
100, 5, 4, 516, 243, 0.899161, 144, 138, 0.000000, 15, 10, 0.059235, 0.000000
100, 5, 5, 583, 286, 0.660603, 129, 120, 0.000000, 19, 8, 0.676197, 0.000000
100, 5, 6, 556, 293, 0.094282, 143, 140, 0.000000, 15, 6, 0.696381, 0.000000
100, 5, 7, 653, 319, 0.708090, 136, 129, 0.000000, 15, 8, 0.303619, 0.000000
100, 5, 8, 590, 285, 0.782944, 154, 145, 0.000000, 14, 6, 0.604736, 0.000000
100, 5, 9, 565, 290, 0.250451, 160, 152, 0.000000, 11, 7, 0.113281, 0.000000
100, 5, 10, 611, 294, 0.813267, 141, 131, 0.000000, 17, 4, 0.975479, 0.000000
100, 5, 11, 532, 282, 0.076220, 104, 104, 0.000000, 16, 7, 0.598190, 0.000000
100, 5, 12, 561, 288, 0.249690, 129, 125, 0.000000, 14, 6, 0.604736, 0.000000
100, 5, 13, 580, 283, 0.705312, 174, 154, 0.000000, 15, 2, 0.996307, 0.000000
100, 5, 14, 586, 316, 0.026049, 132, 130, 0.000000, 15, 3, 0.982422, 0.000000
100, 5, 15, 583, 300, 0.228004, 181, 174, 0.000000, 8, 4, 0.363281, 0.000000
100, 5, 16, 551, 299, 0.020385, 130, 121, 0.000000, 17, 5, 0.928268, 0.000000
100, 5, 17, 523, 268, 0.270231, 136, 128, 0.000000, 9, 5, 0.253906, 0.000000
100, 5, 18, 632, 321, 0.330871, 156, 143, 0.000000, 17, 8, 0.500000, 0.000000
100, 5, 19, 609, 317, 0.146036, 148, 141, 0.000000, 12, 4, 0.806152, 0.000000
100, 5, 20, 575, 296, 0.226445, 142, 134, 0.000000, 13, 7, 0.290527, 0.000000
100, 5, 21, 625, 304, 0.738897, 143, 141, 0.000000, 12, 4, 0.806152, 0.000000
